NAME,N,GENDER,DECADE
Abraham,1,f,1770
Adam,5,m,1770
Alexander,2,m,1770
Ann,5,f,1770
Anne,1,f,1770
Anthony,1,m,1770
Arthur,2,m,1770
Augustus,3,m,1770
Ben,2,m,1770
Bill,2,m,1770
Billy,1,m,1770
Caroline,1,f,1770
Catharine,7,f,1770
Catherine,2,f,1770
Charles,22,m,1770
Christopher,1,m,1770
Cornelius,1,m,1770
Corr,1,m,1770
Crispus,1,m,1770
Daniel,2,m,1770
Dennis,1,m,1770
Diana,3,f,1770
Don,6,m,1770
Edmund,1,m,1770
Elizabeth,2,f,1770
Francis,5,m,1770
Francs,1,m,1770
Frederick,9,m,1770
George,44,m,1770
Gertrude,1,f,1770
Giacomo,1,m,1770
Gilbert,1,m,1770
Godfrey,1,m,1770
Gustavus,1,m,1770
Hans,1,m,1770
Harry,1,m,1770
Henry,3,m,1770
Hugh,4,m,1770
Jack,8,m,1770
Jacky,1,m,1770
James,12,m,1770
Jane,2,f,1770
Jemmy,3,m,1770
Jeremiah,5,m,1770
Jesse,1,f,1770
Jezebel,1,f,1770
Jo,1,f,1770
Joan,1,f,1770
Jocky,1,m,1770
John,42,m,1770
Johnannes,1,m,1770
Jon,1,m,1770
Joseph,5,m,1770
Judas,3,m,1770
Kitty,1,f,1770
Lewis,1,m,1770
Louis,3,m,1770
Lucy,3,f,1770
Madge,1,f,1770
Mary,1,f,1770
Nell,1,m,1770
Noah,1,m,1770
Oliver,7,m,1770
Pat,1,m,1770
Patrick,1,m,1770
Paul,2,m,1770
Percy,1,m,1770
Peter,1,m,1770
Phillip,2,m,1770
Polly,5,f,1770
Richard,6,m,1770
Sally,3,f,1770
Sam,2,m,1770
Samuel,3,m,1770
Sancho,4,m,1770
Sarah,1,f,1770
Sidney,1,m,1770
Simon,1,m,1770
Stanislaus,1,m,1770
Stephen,8,m,1770
Stuart,1,m,1770
Susanna,1,f,1770
Susannah,6,f,1770
Theodosius,4,m,1770
Thomas,4,m,1770
Tim,1,m,1770
Toby,8,m,1770
Tom,2,m,1770
Tony,1,m,1770
Tristram,2,m,1770
Tycho,1,m,1770
Wilhelm,2,m,1770
William,16,m,1770
Abdul,1,m,1780
Abraham,1,m,1780
Abram,1,m,1780
Adam,12,m,1780
Albert,8,m,1780
Alexander,30,m,1780
Alfred,1,m,1780
Amelia,1,f,1780
Andre,1,m,1780
Andrew,7,m,1780
Anna,1,f,1780
Anne,1,f,1780
Anny,1,f,1780
Anthony,4,m,1780
Antony,3,m,1780
Arthur,2,m,1780
Augusta,1,f,1780
Auguste,3,m,1780
Bamber,3,m,1780
Becky,2,f,1780
Bella,1,f,1780
Ben,3,m,1780
Benedict,3,m,1780
Benjamin,1,m,1780
Betty,2,f,1780
Bill,1,m,1780
Billy,23,m,1780
Bob,1,m,1780
Bridget,1,f,1780
Byng,1,m,1780
Caecilia,1,f,1780
Caeser,1,m,1780
Caleb,2,m,1780
Carlo,17,m,1780
Catarena,1,f,1780
Catharine,7,f,1780
Catherine,9,f,1780
Catilina,1,f,1780
Cecil,26,m,1780
Cecilia,5,f,1780
Cecill,1,m,1780
Charles,87,m,1780
Charley,36,m,1780
Charlotte,12,f,1780
Charly,3,m,1780
Christopher,5,m,1780
Colin,2,m,1780
Cordelia,2,f,1780
Daniel,5,m,1780
David,3,m,1780
Davy,1,m,1780
Diana,2,f,1780
Dick,2,m,1780
Dicky,2,m,1780
Diego,1,m,1780
Don,22,m,1780
Dorothy,1,f,1780
Dudley,1,m,1780
Edmund,9,m,1780
Edward,6,m,1780
Edwin,1,m,1780
Elijah,3,m,1780
Eliza,2,f,1780
Elizabeth,4,f,1780
Felix,1,m,1780
Ferdinand,1,m,1780
Ferdinando,1,m,1780
Foster,1,m,1780
Frances,1,f,1780
Francis,17,m,1780
Fred,1,m,1780
Frederic,1,m,1780
Frederick,10,m,1780
Fredrick,1,m,1780
Gabriel,4,m,1780
Gaetan,2,m,1780
Geordie,3,m,1780
George,313,m,1780
Georgiana,2,f,1780
Georgy,2,f,1780
Godfrey,1,m,1780
Grace,1,f,1780
Graham,30,m,1780
Gregory,1,m,1780
Gustavus,1,m,1780
Guy,5,m,1780
Harriet,14,f,1780
Harry,5,m,1780
Henri,1,m,1780
Henry,19,m,1780
Herbert,1,m,1780
Herod,2,m,1780
Horace,2,m,1780
Hugh,11,m,1780
Hugo,3,m,1780
Isaac,2,m,1780
Isaiah,1,m,1780
Jack,37,m,1780
Jacky,2,f,1780
James,54,m,1780
Jane,1,f,1780
Jason,2,m,1780
Jeffery,13,m,1780
Jeffry,1,m,1780
Jemmy,1,m,1780
Jerome,1,m,1780
Jo,1,m,1780
Joan,1,f,1780
Joe,7,m,1780
John,181,m,1780
Johnny,5,m,1780
Joseph,23,m,1780
Josephus,1,m,1780
Josh,1,m,1780
Joshua,1,m,1780
Josiah,2,m,1780
Judas,5,m,1780
Karl,1,m,1780
Kitty,2,f,1780
Lee,5,m,1780
Lewis,2,m,1780
Lloyd,1,m,1780
Louis,19,m,1780
Lucy,2,f,1780
Madge,1,f,1780
Margaret,2,f,1780
Maria,3,f,1780
Marie,3,f,1780
Martha,2,f,1780
Martin,2,m,1780
Mary,14,f,1780
Michael,4,m,1780
Nan,1,f,1780
Nathaniel,4,m,1780
Nelly,1,f,1780
Nick,4,m,1780
Octavius,1,m,1780
Oliver,6,m,1780
Ophelia,1,f,1780
Paddy,2,m,1780
Pam,3,f,1780
Pamela,1,f,1780
Patrick,2,m,1780
Paul,10,m,1780
Penelope,2,f,1780
Pepper,12,f,1780
Perdita,39,f,1780
Peter,15,m,1780
Philip,3,m,1780
Philippe,1,m,1780
Polly,2,f,1780
Portia,1,f,1780
Rachel,1,f,1780
Ralph,4,m,1780
Ralpho,1,m,1780
Richard,25,m,1780
Robby,1,m,1780
Robert,5,m,1780
Roderick,3,m,1780
Roger,7,m,1780
Sam,62,m,1780
Sampson,2,m,1780
Samuel,5,m,1780
Sancho,9,m,1780
Sarah,1,f,1780
Soame,1,m,1780
Solomon,2,m,1780
Sophia,2,f,1780
Susan,2,f,1780
Thomas,19,m,1780
Tim,1,m,1780
Toby,5,m,1780
Tom,14,m,1780
Veronica,2,f,1780
Warren,8,m,1780
Wat,1,m,1780
Watkin,7,m,1780
Watt,1,m,1780
Wattey,1,m,1780
Watty,2,m,1780
Will,1,m,1780
William,65,m,1780
Abel,2,m,1790
Abell,2,m,1790
Abraham,7,m,1790
Adam,6,m,1790
Adrian,1,m,1790
Alan,2,m,1790
Alexander,8,m,1790
Alice,1,f,1790
Ally,1,m,1790
Amelia,1,f,1790
Andrew,2,m,1790
Ann,10,f,1790
Anna,7,f,1790
Anne,3,f,1790
Anthony,1,m,1790
Antonio,1,m,1790
Archibald,1,m,1790
Arthur,1,m,1790
Augustus,3,m,1790
Ben,2,m,1790
Benjamin,2,m,1790
Bess,2,f,1790
Bett,2,f,1790
Betty,7,f,1790
Bill,5,m,1790
Billy,32,m,1790
Bo,5,f,1790
Bob,3,m,1790
Brandon,1,m,1790
Brittania,1,f,1790
Brook,11,m,1790
Caroline,3,f,1790
Cataline,1,f,1790
Catherine,39,f,1790
Cecil,3,m,1790
Cecile,1,f,1790
Cecilia,11,f,1790
Charles,50,m,1790
Charley,27,m,1790
Charlie,1,m,1790
Charlotte,14,f,1790
Christian,1,m,1790
Claud,1,m,1790
Claude,1,m,1790
Daniel,2,m,1790
David,8,m,1790
Davy,1,m,1790
Dennis,1,m,1790
Dick,4,m,1790
Dickey,1,m,1790
Dolly,2,f,1790
Don,7,m,1790
Donald,1,m,1790
Donna,1,f,1790
Dudley,1,m,1790
Edmond,1,m,1790
Edmund,6,m,1790
Edward,13,m,1790
Eleanor,2,f,1790
Elijah,1,m,1790
Elisabeth,1,f,1790
Elizabeth,7,f,1790
Elliot,1,m,1790
Eloisa,1,f,1790
Emma,1,f,1790
Fanny,2,f,1790
Ferdinand,2,m,1790
Flora,1,f,1790
Frances,1,f,1790
Francis,24,m,1790
Frederic,1,m,1790
Frederica,1,f,1790
Frederick,19,m,1790
Geoffrey,1,m,1790
George,130,m,1790
Georgey,3,f,1790
Georgiana,1,f,1790
Giles,2,m,1790
Guillaume,1,m,1790
Gustavus,1,m,1790
Harry,6,m,1790
Helen,2,f,1790
Henry,13,m,1790
Horace,1,m,1790
Horatio,1,m,1790
