DATE,WORD,COUNT,TOTAL_PRINTS
1555,man,0,0
1570,man,0,0
1580,man,0,0
1585,man,0,0
1592,man,1,0
1599,man,0,0
1606,man,0,0
1607,man,0,0
1608,man,3,0
1609,man,0,0
1619,man,0,0
1620,man,0,0
1621,man,0,0
1623,man,0,0
1624,man,0,0
1625,man,0,0
1626,man,0,0
1627,man,0,0
1628,man,0,0
1630,man,1,0
1631,man,0,0
1632,man,0,0
1633,man,0,0
1635,man,1,0
1636,man,0,0
1639,man,0,0
1640,man,1,0
1641,man,1,0
1642,man,6,0
1643,man,2,0
1644,man,0,0
1645,man,4,0
1646,man,3,0
1647,man,1,0
1648,man,1,0
1649,man,1,0
1650,man,0,0
1651,man,5,0
1652,man,6,0
1653,man,1,0
1654,man,0,0
1655,man,2,0
1656,man,0,0
1657,man,2,0
1658,man,0,0
1659,man,1,0
1660,man,0,0
1661,man,3,0
1662,man,2,0
1663,man,2,0
1664,man,1,0
1665,man,0,0
1666,man,1,0
1667,man,1,0
1671,man,1,0
1672,man,0,0
1673,man,1,0
1674,man,1,0
1675,man,4,0
1676,man,0,0
1678,man,1,0
1679,man,2,0
1680,man,2,0
1681,man,2,0
1682,man,4,0
1683,man,2,0
1684,man,0,0
1685,man,0,0
1686,man,0,0
1687,man,0,0
1688,man,4,0
1689,man,10,0
1690,man,7,0
1691,man,1,0
1692,man,1,0
1693,man,0,0
1695,man,0,0
1696,man,0,0
1697,man,1,0
1698,man,0,0
1699,man,0,0
1700,man,2,0
1701,man,3,0
1702,man,7,0
1703,man,0,0
1704,man,0,0
1705,man,4,0
1706,man,3,0
1707,man,4,0
1708,man,1,0
1709,man,3,0
1710,man,5,0
1711,man,2,0
1712,man,3,0
1713,man,5,0
1714,man,0,0
1715,man,2,0
1716,man,1,0
1717,man,1,0
1718,man,2,0
1719,man,1,0
1720,man,125,0
1721,man,7,0
1723,man,2,0
1724,man,1,0
1725,man,1,0
1726,man,6,0
1727,man,1,0
1728,man,2,0
1729,man,3,0
1730,man,6,0
1731,man,4,0
1732,man,6,0
1733,man,10,0
1734,man,5,0
1735,man,10,0
1736,man,5,0
1737,man,5,0
1738,man,26,0
1739,man,2,0
1740,man,23,0
1741,man,13,0
1742,man,19,0
1743,man,10,0
1744,man,1,0
1745,man,16,0
1746,man,2,0
1747,man,17,0
1748,man,1,0
1749,man,5,0
1750,man,11,0
1751,man,4,0
1752,man,6,0
1753,man,8,0
1754,man,1,0
1755,man,6,0
1756,man,6,0
1757,man,1,0
1758,man,3,0
1759,man,5,0
1760,man,1,0
1761,man,5,0
1762,man,14,0
1763,man,13,0
1764,man,1,0
1765,man,9,0
1766,man,2,0
1767,man,2,0
1768,man,8,0
1769,man,8,0
1770,man,27,164
1771,man,84,178
1772,man,191,312
1773,man,105,249
1774,man,61,121
1775,man,43,95
1776,man,36,96
1777,man,42,105
1778,man,64,108
1779,man,47,108
1780,man,148,253
1781,man,98,173
1782,man,94,221
