DATE,CATEGORY,WORD,TSCORE
1786,female,duchess,0
1789,female,duchess,1.66695
1792,female,duchess,2.37974
1795,female,duchess,0
1798,female,duchess,0
1801,female,duchess,1.38269
1804,female,duchess,0
1807,female,duchess,0
1810,female,duchess,0.98036
1813,female,duchess,0.91636
1816,female,duchess,0
1819,female,duchess,1.66908
1822,female,duchess,0
1825,female,duchess,0
1828,female,duchess,0
1786,female,female,1.71344
1789,female,female,0
1792,female,female,1.37931
1795,female,female,0
1798,female,female,0
1801,female,female,0
1804,female,female,0
1807,female,female,0
1810,female,female,0
1813,female,female,0
1816,female,female,0.98852
1819,female,female,0
1822,female,female,0
1825,female,female,0
1828,female,female,0
1786,female,ladies,0
1789,female,ladies,1.60186
1792,female,ladies,0.8937
1795,female,ladies,0
1798,female,ladies,0
1801,female,ladies,0.89172
1804,female,ladies,1.36828
1807,female,ladies,1.28229
1810,female,ladies,1.62433
1813,female,ladies,2.5351
1816,female,ladies,0
1819,female,ladies,1.54576
1822,female,ladies,1.28492
1825,female,ladies,0
1828,female,ladies,0
1786,female,lady,0.70988
1789,female,lady,0.87711
1792,female,lady,1.82346
1795,female,lady,1.50607
1798,female,lady,1.83417
1801,female,lady,1.48567
1804,female,lady,1.89222
1807,female,lady,1.54496
1810,female,lady,1.83798
1813,female,lady,3.28409
1816,female,lady,1.35008
1819,female,lady,2.15078
1822,female,lady,2.7821
1825,female,lady,2.10706
1828,female,lady,2.73208
1786,female,mrs,1.20717
1789,female,mrs,1.47509
1792,female,mrs,3.2239
1795,female,mrs,0.88048
1798,female,mrs,0.92309
1801,female,mrs,1.90446
1804,female,mrs,1.63317
1807,female,mrs,0.75451
1810,female,mrs,4.18478
1813,female,mrs,2.3129
1816,female,mrs,1.38742
1819,female,mrs,1.30495
1822,female,mrs,0.91315
1825,female,mrs,1.91524
1828,female,mrs,2.6193
1786,female,ms,0
1789,female,ms,0
1792,female,ms,0
1795,female,ms,1.72688
1798,female,ms,0
1801,female,ms,0
1804,female,ms,0
1807,female,ms,0
1810,female,ms,0
1813,female,ms,0
1816,female,ms,0
1819,female,ms,0
1822,female,ms,0
1825,female,ms,0
1828,female,ms,0
1786,female,wife,0
1789,female,wife,0
1792,female,wife,1.92407
1795,female,wife,1.32125
1798,female,wife,1.31225
1801,female,wife,1.91083
1804,female,wife,0.89074
1807,female,wife,1.27881
1810,female,wife,0.80852
1813,female,wife,2.49445
1816,female,wife,1.97072
1819,female,wife,2.12428
1822,female,wife,1.89486
1825,female,wife,1.64277
1828,female,wife,1.36578
1786,female,woman,0
1789,female,woman,1.86983
1792,female,woman,1.92706
1795,female,woman,2.76495
1798,female,woman,1.36019
1801,female,woman,2.63694
